Designator,Mid X,Mid Y,Rotation,Layer
3,156.543732,-92.16649,180.0,top
4,154.3,-93.0,270.0,top
5,161.4,-92.5,90.0,top
AE2,164.219893,-102.189911,90.0,top
C1,142.0,-97.0,0.0,top
C10,159.0,-110.4,0.0,top
C11,161.5,-108.2,270.0,top
C15,159.3,-94.4,180.0,top
C19,158.8,-95.4,0.0,top
C2,161.5,-98.5,90.0,top
C20,159.3,-102.4,0.0,top
C21,153.8,-96.9,90.0,top
C22,146.2,-99.2,90.0,top
C3,142.0,-98.5,0.0,top
C4,145.5,-94.5,270.0,top
C5,145.8,-87.1,180.0,top
C6,144.5,-103.8,90.0,top
D1,140.4,-111.2,90.0,top
D2,143.0,-112.5,90.0,top
D3,139.0,-98.5,90.0,top
FB1,161.8,-95.8,90.0,top
J1,136.5,-100.02,270.0,top
J2,150.0,-112.0,0.0,top
J3,150.0,-89.5,90.0,top
J5,141.48,-90.5,180.0,top
J6,138.48,-107.5,180.0,top
J7,150.02,-86.5,0.0,top
J8,158.219858,-89.929269,180.0,top
Q2,138.5,-94.5,180.0,top
Q3,137.5,-104.5,0.0,top
R1,143.5,-109.5,270.0,top
R10,159.3,-93.4,180.0,top
R11,156.0,-94.2,270.0,top
R12,139.2,-102.5,0.0,top
R13,159.3,-92.4,0.0,top
R14,147.8,-105.0,180.0,top
R15,153.9,-106.0,0.0,top
R16,153.0,-103.4,45.0,top
R17,153.6,-104.0,45.0,top
R18,145.2,-106.0,180.0,top
R19,159.346551,-91.5,0.0,top
R2,158.3,-104.8,90.0,top
R20,154.3,-94.8,0.0,top
R21,155.8,-104.0,90.0,top
R22,145.5,-103.8,90.0,top
R23,163.2,-95.5,270.0,top
R24,157.5,-88.0,0.0,top
R3,153.9,-86.8,270.0,top
R4,153.0,-86.8,270.0,top
R5,157.0,-94.2,270.0,top
R6,141.8,-108.4,270.0,top
R7,142.5,-107.0,0.0,top
R8,141.2,-92.2,0.0,top
TP1,156.4,-105.4,180.0,bottom
TP2,154.4,-105.4,180.0,bottom
TP7,138.285665,-109.745843,0.0,top
TP8,157.5,-113.0,0.0,top
U1,157.3,-98.9,270.0,top
U2,150.1,-101.0,0.0,bottom
U3,142.0,-104.5,180.0,top
U4,142.0,-101.0,270.0,top
U5,142.5,-94.5,0.0,top
X1,159.0,-108.2,180.0,top
